# Conversion log for project 'WorkflowUI' from version 9 to 41,915
# Created on 11.01.2011 14:41:15
11.01.2011 14:41:15 : New Task  : Converting configurations:
11.01.2011 14:41:15 : Info      : Adding smart table default configuration ...
11.01.2011 14:41:15 : Info      : Clearing configuration classes cache...
11.01.2011 14:41:15 : Info      : Converted configurations successfully.
11.01.2011 14:41:16 : New Task  : Asserting default deployment descriptor...
11.01.2011 14:41:16 : Info      : Deployment descriptor exists already, no conversion needed.
11.01.2011 14:41:16 : New Task  : Asserting web content folder...
11.01.2011 14:41:16 : Info      : Web content folder added.
11.01.2011 14:41:16 : New Task  : Update project version to actual version 41915.
11.01.2011 14:41:16 : New Task  : Finished conversion of project WorkflowUI.
